Diet,Gain,Litter
A,57.0,1
A,55.0,2
A,62.1,3
A,74.5,4
A,86.7,5
A,42.0,6
A,71.9,7
A,51.5,8
B,64.8,1
B,66.6,2
B,69.5,3
B,61.1,4
B,91.8,5
B,51.8,6
B,69.2,7
B,48.6,8
C,70.7,1
C,59.4,2
C,64.5,3
C,74.0,4
C,78.5,5
C,55.8,6
C,63.0,7
C,48.1,8
D,68.3,1
D,67.1,2
D,69.1,3
D,72.7,4
D,90.6,5
D,44.3,6
D,53.8,7
D,40.9,8
E,76.0,1
E,74.5,2
E,76.5,3
E,86.6,4
E,94.7,5
E,43.2,6
E,61.1,7
E,54.4,8
